case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ARG_DG_000001,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m200(aq),M_3bdcd1f3a0fe,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0055247920099645
ARG_DG_000002,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m160(aq),M_bb8777389364,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0061525409983005
ARG_DG_000003,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m120(aq),M_15cdad376e97,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0056358750007348
ARG_DG_000004,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m080(aq),M_3800d6055617,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0058479160070419
ARG_DG_000005,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m040(aq),M_4cfdf87989d2,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0055394170049112
ARG_DG_000006,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_000(aq),M_69031b4d9f9e,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0054886670113774
ARG_DG_000007,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p040(aq),M_7210d7a0b9a9,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.006062499989639
ARG_DG_000008,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p080(aq),M_9163883da197,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.005513999989489
ARG_DG_000009,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p120(aq),M_f5892fa18944,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0058554580027703
ARG_DG_000010,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p160(aq),M_bf2956db0c7b,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0055503330077044
ARG_DG_000011,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p200(aq),M_6812e7b84e9e,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.007062146892655,-2.151063253353773,0.007499999999999633,-2.124938736608321,True,significant,ok,0.0057374999887542
ARG_INV_000001,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.01,0.02,0.042,2.1,0.0,0.0,101325.0,0.0073385518590998,-2.134389632406994,0.007499999999999998,-2.1249387366083,True,significant,ok,0.006538832996739
ARG_INV_000002,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.02,0.02,0.042,2.1,0.0,0.0,101325.0,0.0072674418604651,-2.1386184338994934,0.007499999999999993,-2.1249387366083003,True,significant,ok,0.0010684159933589
ARG_INV_000003,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.03,0.02,0.042,2.1,0.0,0.0,101325.0,0.0071976967370441,-2.1428064555718085,0.007499999999999964,-2.124938736608302,True,significant,ok,0.0012987909867661
ARG_INV_000004,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.04,0.02,0.042,2.1,0.0,0.0,101325.0,0.0071292775665399,-2.1469544764260218,0.0074999999999999815,-2.1249387366083012,True,significant,ok,0.0009841250139288
ARG_INV_000005,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0009619159973226
ARG_INV_000006,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.1,0.02,0.042,2.1,0.0,0.0,101325.0,0.0067446043165467,-2.1710435238543426,0.0074999999999999425,-2.1249387366083035,True,significant,ok,0.0009636670001782
