study_id,target_product,n_cases,n_ok,n_failed,n_suspect_balance,total_runtime_seconds,inventory_accessible_fraction,max_X_eq,summary_path,figures_path
alanine,Alanine(aq),36,36,0,0,0.1037555369402966,0.96,0.0203908241291418,studies/aa_no_nh3/alanine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/alanine/figures
arginine,Arginine(aq),36,36,0,0,0.0775272029859458,0.0,0.0,studies/aa_no_nh3/arginine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/arginine/figures
asparagine,Asparagine(aq),36,36,0,0,0.0793259180209116,0.0,0.0,studies/aa_no_nh3/asparagine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/asparagine/figures
asparticacid,AsparticAcid(aq),36,36,0,0,0.0776189570169644,0.0,0.0,studies/aa_no_nh3/asparticacid/results/sensitivity_case_summary.csv,studies/aa_no_nh3/asparticacid/figures
glutamicacid,GlutamicAcid(aq),36,36,0,0,0.07729612596449272,0.0,0.0,studies/aa_no_nh3/glutamicacid/results/sensitivity_case_summary.csv,studies/aa_no_nh3/glutamicacid/figures
glutamine,Glutamine(aq),36,36,0,0,0.07829062700329639,0.0,0.0,studies/aa_no_nh3/glutamine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/glutamine/figures
glycine,Glycine(aq),36,36,0,0,0.07896491400606288,0.0,0.0,studies/aa_no_nh3/glycine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/glycine/figures
histidine,Histidine(aq),36,36,0,0,0.0805053329531785,0.0,0.0,studies/aa_no_nh3/histidine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/histidine/figures
isoleucine,Isoleucine(aq),36,36,0,0,0.07897483003034561,0.0,0.0,studies/aa_no_nh3/isoleucine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/isoleucine/figures
leucine,Leucine(aq),36,36,0,0,0.07921878906199512,0.0,0.0,studies/aa_no_nh3/leucine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/leucine/figures
lysine,Lysine(aq),36,36,0,0,0.07907083204190521,0.0,0.0,studies/aa_no_nh3/lysine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/lysine/figures
phenylalanine,Phenylalanine(aq),36,36,0,0,0.0792621700238653,0.0,0.0,studies/aa_no_nh3/phenylalanine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/phenylalanine/figures
proline,Proline(aq),36,36,0,0,0.0799648770043838,0.96,0.0203735144312393,studies/aa_no_nh3/proline/results/sensitivity_case_summary.csv,studies/aa_no_nh3/proline/figures
serine,Serine(aq),36,36,0,0,0.0796850809711013,0.0,0.0,studies/aa_no_nh3/serine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/serine/figures
threonine,Threonine(aq),36,36,0,0,0.07929320700350032,0.0,0.0,studies/aa_no_nh3/threonine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/threonine/figures
tryptophan,Tryptophan(aq),36,36,0,0,0.07911775298998519,0.0,0.0,studies/aa_no_nh3/tryptophan/results/sensitivity_case_summary.csv,studies/aa_no_nh3/tryptophan/figures
tyrosine,Tyrosine(aq),36,36,0,0,0.0770871640561363,0.0,0.0,studies/aa_no_nh3/tyrosine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/tyrosine/figures
valine,Valine(aq),36,36,0,0,0.07792696004616839,0.0,0.0,studies/aa_no_nh3/valine/results/sensitivity_case_summary.csv,studies/aa_no_nh3/valine/figures
