T_K,Adenine(aq),Alanine(aq),C2H2(aq),Cytosine(aq),H2O(l),HCN(aq),NH3(aq)
273.16,318198.59627452807,-367651.36045143066,219981.9473512059,-30358.283863918783,-235515.2568598553,122578.69714863472,-24091.33315168925
283.15,316108.4797093877,-369194.1665599893,218901.1881641182,-32261.40021994497,-236161.448309082,121464.36339731648,-25118.002083022307
293.15,313945.9513989303,-370774.5241410452,217725.88043597995,-34202.13054278512,-236834.94122114973,120278.54387609135,-26170.584236626943
303.15,311711.2555526369,-372399.34170737385,216471.0439770876,-36195.75880963735,-237534.14774428017,119031.96935555292,-27248.80523647181
313.15,309403.81381309114,-374072.90659972007,215145.63346072024,-38251.55647244764,-238258.21733309003,117730.9701938091,-28352.796624812872
323.15,307023.6601655981,-375797.3044669876,213755.82076957007,-40374.573157848215,-239006.3514322321,116380.03163584246,-29482.382329233096
333.15,304571.1358727771,-377573.37042365,212306.10421188333,-42567.438282338335,-239777.8017631372,114982.52368913256,-30637.224847019457
343.15,302046.7250793852,-379401.1941820197,210799.9051257133,-44831.32088667532,-240571.8750151414,113541.09529006032,-31816.90203477257
353.15,299450.956939954,-381280.4055566284,209239.91047094588,-47166.47503582275,-241387.9334759094,112057.90240841194,-33020.9500392626
363.15,296784.3410057709,-383210.34340379445,207628.27938930533,-49572.56530433202,-242225.3915573305,110534.74743121272,-34248.8884943233
373.15,294047.4501078824,-385190.0766028478,205966.8436169787,-52048.76640405338,-243083.68543859327,108973.23378847472,-35500.20243885794
383.15,291244.527729233,-387216.1859226187,204259.1870457264,-54591.0576044962,-243961.57279800565,107376.65581265472,-36773.421655123406
393.15,288373.1439047453,-389289.3143311717,202505.0465306026,-57200.37740072182,-244859.09379446312,105744.8403638976,-38068.77425621196
403.15,285433.6664641514,-391408.16782975016,200705.55602347688,-59875.21586322803,-245775.7541846435,104078.97216758372,-39385.74332372189
413.15,282426.31160944887,-393571.3888579136,198861.6673909442,-62613.949740419695,-246711.07986324964,102380.13767510735,-40723.82411360915
423.15,279351.11114643764,-395777.5646535571,196974.16172185115,-65414.865462211164,-247664.61478837265,100649.3386049636,-42082.52638179243
433.15,276207.87484977324,-398025.2305759314,195043.65228837784,-68276.17315572489,-248635.91966281072,98887.50084337912,-43461.37649802073
443.15,272996.1458409819,-400312.86940370494,193070.5800974146,-71196.01391728593,-249624.57112743933,97095.47964196508,-44859.919610099445
453.15,269715.1464003735,-402638.9070669776,191055.20219504088,-74172.46163425561,-250630.16126682595,95274.06164617217,-46277.72207808103
463.15,266363.710865832,-405001.7048379652,188997.57218986587,-77203.51996363064,-251652.2973019593,93423.9639785352,-47714.37439253524
473.15,262940.2012350571,-407399.547624964,186897.5117811471,-80287.11453119168,-252690.6012323252,91545.83034505218,-49169.49481007917
483.15,259442.3990379959,-409830.62754717615,184754.57105544457,-83421.07985263791,-253744.7096851132,89640.22381704568,-50642.73401718008
493.15,255867.36491920456,-412293.0214970053,182567.9743198577,-86603.13994253929,-254814.2735242685,87707.61566681857,-52133.78121127977
503.15,252211.252861978,-414784.6605927805,180336.5462841932,-89830.8807601537,-255898.95749505688,85748.36912448541,-53642.372187188266
513.15,248469.05991517188,-417303.28834992833,178058.61082801843,-93101.71157749151,-256998.4397831997,83762.71628442498,-55168.30028094183
523.15,244634.2819809967,-419846.4026480632,175731.85026772384,-96412.8106670754,-258112.4115027493,81750.72532540026,-56711.43148509258
533.15,240698.4293010537,-422411.1737009916,173353.10598429816,-99761.04796008368,-259240.5761079316,79712.25349644688,-58271.72580493533
543.15,236650.32604746468,-424994.3254105686,170918.08909795934,-103142.87275353214,-260382.6487197629,77646.87832613582,-59849.268261935926
553.15,232475.06632406663,-427591.9587134558,168420.9482302577,-106554.14620654364,-261538.35535186008,75553.79428563667,-61444.3152861257
563.15,228152.40068271483,-430199.27930773626,165853.6005673473,-109989.88302755456,-262707.43201466434,73431.65214509469,-63057.36672061576
573.15,223654.1322614745,-432810.1597533274,163204.6514166466,-113443.83609040416,-263889.6236795702,71278.29853283949,-64689.28251069984
583.15,218939.6860413187,-435416.3971133907,160457.55474615307,-116907.79262131645,-265084.68310986954,69090.33106234249,-66341.48206520136
593.15,213948.0502608735,-438006.3677109383,157587.26642370652,-120370.29969045566,-266292.36965223734,66862.28654588875,-68016.30820211566
603.15,208581.79248677712,-440562.3678398807,154553.60442002982,-123814.14655908418,-267512.4483306021,64585.0263653829,-69717.75138641094
613.15,202671.3688508244,-443054.6932561892,151286.42006012925,-127210.76325532868,-268744.69078108977,62242.122697555125,-71453.07142053702
623.15,195880.429451462,-445425.967101862,147646.24947500686,-130505.40117583032,-269988.87893117865,59800.25321873433,-73237.10940922065
633.15,187371.36734936343,-447535.896465879,143285.3241271489,-133564.92009426004,-271244.8267175809,57175.22426217489,-75107.54501929163
643.15,173185.67625211843,-448729.1243365444,136558.83926799335,-135769.4741321458,-272512.3844685146,53965.57607232331,-77244.54363139767
